Model,ROC_AUC
RepViT,0.9961290322580645
DaViT,0.9996774193548387
EfficientViT,1.0
MobileViT,0.9867741935483871
FasterViT,0.9954838709677419
MViT,0.9993548387096775
PVT v2,1.0
